page,content,scraped_at
Lefaso.net,"Burkina : Des acteurs de la douane et de la justice épinglés dans des affaires de corruption, selon le KORAG… En voir plus",2025-11-16T02:17:56.041634
Lefaso.net,Burkina/Solidarité nationale : Le CHU Yalgado Ouédraogo offre 200 bons de soins à des familles des héros tombés pour la patrie … En voir plus,2025-11-16T02:17:56.095295
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:17:58.131140
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:17:58.185698
Lefaso.net,Coopération sanitaire Chine - Burkina Faso : Un partenariat stratégique au service d’une santé accessible et moderne… En voir plus,2025-11-16T02:17:58.231297
Lefaso.net,SOTRACO : Des sanctions infligées à plusieurs agents pour fautes graves… En voir plus,2025-11-16T02:17:58.294780
Lefaso.net,Ghana - Burkina Faso : Des Burkinabè et Ghanéens de la frontière privés de reconnaissance officielle… En voir plus,2025-11-16T02:17:58.398897
Lefaso.net,"Burkina/Infrastructures sportives et de jeunesse : 436 milliards seront investis entre 2026 et 2030, selon le ministre Roland Somda… En voir plus",2025-11-16T02:17:58.452357
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:17:59.534759
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:17:59.607595
Lefaso.net,"Burkina : Un maître coranique poursuivi pour séquestration, torture et coups et blessures volontaires sur un enfant de 13 ans… En voir plus",2025-11-16T02:17:59.702490
Lefaso.net,Décès de KABORE Wendwaoga Denis : Faire-part… En voir plus,2025-11-16T02:17:59.766524
Lefaso.net,Sotigui Awards 2025 : Le harcèlement sexuel au cœur de la conférence inaugurale… En voir plus,2025-11-16T02:17:59.815985
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:18:01.237012
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:18:01.304124
Lefaso.net,Menus du mercredi 12 novembre 2025… En voir plus,2025-11-16T02:18:01.421261
Lefaso.net,Décès de SANOU / ARISTE Clémence : Remerciements … En voir plus,2025-11-16T02:18:01.477751
Lefaso.net,Décès de SANOU/AGALEOUE ADOUA Rolande Annonciata : Faire-part… En voir plus,2025-11-16T02:18:01.530511
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:18:04.561217
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:18:04.623044
Lefaso.net,Décès de Mathurin SOME : Remerciements et faire-part… En voir plus,2025-11-16T02:18:04.719206
Lefaso.net,Décès de DONDOULGOU née OUÉDRAOGO Assèta Chantal Marie Françoise : Faire-part… En voir plus,2025-11-16T02:18:04.777685
Lefaso.net,Décès de YONLI Fernand Bertin Myabah : Remerciements… En voir plus,2025-11-16T02:18:04.831946
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:18:06.186732
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:18:06.239014
Lefaso.net,Recrutements: La SONABEL dit adieu au dépôt physique des dossiers … En voir plus,2025-11-16T02:18:06.315086
Lefaso.net,Coupe du monde U17 Qatar 2025 : Les Étalons cadets qualifiés pour les 16es de finale… En voir plus,2025-11-16T02:18:06.415542
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:18:07.876324
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:18:07.915924
Lefaso.net,Le célibat : Entre liberté assumée et solitude redoutée… En voir plus,2025-11-16T02:18:07.993668
Lefaso.net,"Emprunt obligataire : Le Burkina Faso dépasse son objectif avec 131,355 milliards de francs CFA levés… En voir plus",2025-11-16T02:18:08.046704
Lefaso.net,"Assassinat de Thomas Sankara : Suite des confidences du père du héros national, avec Jonas Hien… En voir plus",2025-11-16T02:18:08.097296
Lefaso.net,Diaspora : Le gouvernement veut renforcer la contribution des Burkinabè de l’extérieur au développement national… En voir plus,2025-11-16T02:18:08.147394
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:18:11.209840
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:18:11.259133
Lefaso.net,Diaspora : Le gouvernement veut renforcer la contribution des Burkinabè de l’extérieur au développement national… En voir plus,2025-11-16T02:18:11.340349
Lefaso.net,"Aimer sa patrie, c'est aussi consommer local… En voir plus",2025-11-16T02:18:11.383481
Lefaso.net,"Burkina : « La vitalité d’un média repose sur une vision, un modèle éditorial et économique, couronnés de passion », Dr Cyriaque Paré… En voir plus",2025-11-16T02:18:11.441607
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:18:12.897421
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:18:12.967624
Lefaso.net,"Burkina/Agriculture : Les producteurs semenciers font le point 2024 et tracent les perspectives
… En voir plus",2025-11-16T02:18:13.051927
Lefaso.net,"Burkina Faso : 4894 réserves administratives sur 7076 sont illégalement occupées, selon le ministre Émile Zerbo… En voir plus",2025-11-16T02:18:13.100071
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:18:15.481066
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:18:15.544280
Lefaso.net,"Burkina Faso : 4894 réserves administratives sur 7076 sont illégalement occupées, selon le ministre Émile Zerbo… En voir plus",2025-11-16T02:18:15.653483
Lefaso.net,Burkina : Plus de 200 milliards de francs CFA transférés chaque année par la diaspora… En voir plus,2025-11-16T02:18:15.725837
Lefaso.net,Rencontre gouvernement/secteur privé : La 22e édition se penche sur le développement des infrastructures… En voir plus,2025-11-16T02:18:15.794788
Lefaso.net,Décès de Hadja YALPOUGDOU Zoenabo épouse de feu El Hadj BOUGOUMA Adama dit Adam-pouré : Remerciements et faire-part… En voir plus,2025-11-16T02:18:15.849069
Burkina24,"🔴 Utilisation de smartphones sur le champ des opérations : « Nous allons sévir ! » (Capitaine Ibrahim Traoré)

« Que ce soit dans les tribunaux. Que ce soit les terroristes qu'on prend au combat comme prisonniers. Que ce soit ceux qui se rendent. Tous, à l'unanimité, nous disent qu'ils arrivent à réussir certaines attaques à cause de l'emploi excessif du téléphone de nos soldats »…

Capitaine Ibrahim Traoré, Président du Faso, Chef de l’État, au camp militaire Thomas-Sankara de Pô, le 15 juin 2025

👉🏿 https://vm.tiktok.com/ZMS53ApWx/.

L’intégralité de l’important message du Président du Faso à retrouver

Ici👉🏿 https://youtu.be/K3exU0oyrfY.",2025-11-16T02:18:23.940182
Burkina24,🔴 Le Venezuela 🇻🇪 « admire » la lutte que mène le Burkina Faso 🇧🇫,2025-11-16T02:18:24.002431
Burkina24,"🇧🇫✊🏿 Un bateau 🚤 made in Burkina Faso flotte au quartier Tanghin de Ouagadougou

Bassibri Christophe Ilboudo a construit le premier bateau du Burkina Faso en 45 jours.

Long de 15 mètres et pesant 7 tonnes, ce navire en fibre de verre est destiné à moderniser la pêche au Burkina Faso, avec un potentiel touristique futur.

Un rêve d'enfance devenu réalité grâce à la persévérance et à l'esprit d'innovation burkinabè…

Article à lire demain 27 avril 2025 sur www.burkina24.com

👉🏿 https://vm.tiktok.com/ZMB7WdovE/.

👉🏿 https://youtu.be/KxDCl3W9T2s?si=aCjqdEVUQzio8QhU.",2025-11-16T02:18:24.108953
Burkina24,#AES Jeunesse malienne au Burkina Faso : L’AESMO valorise culture et unité à Ouagadougou … En voir plus,2025-11-16T02:18:24.164478
Burkina24,"🔴 Utilisation de smartphones sur le champ des opérations : « Nous allons sévir ! » (Capitaine Ibrahim Traoré)

« Que ce soit dans les tribunaux. Que ce soit les terroristes qu'on prend au combat comme prisonniers. Que ce soit ceux qui se rendent. Tous, à l'unanimité, nous disent qu'ils arrivent à réussir certaines attaques à cause de l'emploi excessif du téléphone de nos soldats »…

Capitaine Ibrahim Traoré, Président du Faso, Chef de l’État, au camp militaire Thomas-Sankara de Pô, le 15 juin 2025

👉🏿 https://vm.tiktok.com/ZMS53ApWx/.

L’intégralité de l’important message du Président du Faso à retrouver

Ici👉🏿 https://youtu.be/K3exU0oyrfY.",2025-11-16T02:18:26.055834
Burkina24,🔴 Le Venezuela 🇻🇪 « admire » la lutte que mène le Burkina Faso 🇧🇫,2025-11-16T02:18:26.112106
Burkina24,"🇧🇫✊🏿 Un bateau 🚤 made in Burkina Faso flotte au quartier Tanghin de Ouagadougou

Bassibri Christophe Ilboudo a construit le premier bateau du Burkina Faso en 45 jours.

Long de 15 mètres et pesant 7 tonnes, ce navire en fibre de verre est destiné à moderniser la pêche au Burkina Faso, avec un potentiel touristique futur.

Un rêve d'enfance devenu réalité grâce à la persévérance et à l'esprit d'innovation burkinabè…

Article à lire demain 27 avril 2025 sur www.burkina24.com

👉🏿 https://vm.tiktok.com/ZMB7WdovE/.

👉🏿 https://youtu.be/KxDCl3W9T2s?si=aCjqdEVUQzio8QhU.",2025-11-16T02:18:26.172666
Burkina24,#AES Jeunesse malienne au Burkina Faso : L’AESMO valorise culture et unité à Ouagadougou … En voir plus,2025-11-16T02:18:26.240174
Burkina24,"Sotigui d'or 2025 : Qui succédera à Stéphanie Tum ? Le verdict imminent ! 
L… En voir plus",2025-11-16T02:18:26.322920
Burkina24,Burkina Faso Vs Niger (3-2) : « J’ai marqué mais ce n’est pas ça qu’on doit retenir » (Pierre Landry Kaboré)… En voir plus,2025-11-16T02:18:26.384411
